name,description,alias,type,has_cli,has_native_addon,has_wasm,related
utils/any-by-right,"Test whether at least one element in a collection passes a test implemented by a predicate function, iterating from right to left.",anyByRight,Function,false,false,false,utils/any-by;utils/async/any-by-right;utils/every-by-right;utils/for-each-right;utils/none-by-right;utils/some-by-right
utils/any-by,Test whether at least one element in a collection passes a test implemented by a predicate function.,anyBy,Function,false,false,false,utils/async/any-by;utils/any-by-right;utils/every-by;utils/for-each;utils/none-by;utils/some-by
utils/any,Test whether at least one element in a collection is truthy.,any,Function,false,false,false,utils/any-by;utils/every;utils/for-each;utils/none;utils/some
utils/append,Add elements from one collection to the end of another collection.,append,Function,false,false,false,utils/prepend;utils/push
utils/argument-function,Argument function.,argumentFunction,Function,false,false,false,utils/constant-function;utils/identity-function
utils/async/any-by-right,"Test whether at least one element in a collection passes a test implemented by a predicate function, iterating from right to left.",anyByRightAsync,Function,false,false,false,utils/async/any-by;utils/any-by-right;utils/async/every-by-right;utils/async/for-each-right;utils/async/none-by-right;utils/async/some-by-right
utils/async/any-by,Test whether at least one element in a collection passes a test implemented by a predicate function.,anyByAsync,Function,false,false,false,utils/any-by;utils/async/any-by-right;utils/async/every-by;utils/async/for-each;utils/async/none-by;utils/async/some-by
utils/async/bifurcate-by,Split values into two groups according to a predicate function.,bifurcateByAsync,Function,false,false,false,utils/bifurcate-by;utils/async/group-by
utils/async/compose,Function composition.,composeAsync,Function,false,false,false,utils/compose
utils/async/count-by,Group values according to an indicator function and return group counts.,countByAsync,Function,false,false,false,utils/count-by;utils/async/group-by;utils/async/tabulate-by
utils/async/do-until,Invoke a function until a test condition is true.,doUntilAsync,Function,false,false,false,utils/do-until;utils/async/do-while;utils/async/until;utils/async/while
utils/async/do-while,Invoke a function while a test condition is true.,doWhileAsync,Function,false,false,false,utils/async/do-until;utils/do-while;utils/async/until;utils/async/while
utils/async/every-by-right,"Test whether all elements in a collection pass a test implemented by a predicate function, iterating from right to left.",everyByRightAsync,Function,false,false,false,utils/async/any-by-right;utils/async/every-by;utils/every-by-right;utils/async/for-each-right;utils/async/none-by-right;utils/async/some-by-right
utils/async/every-by,Test whether all elements in a collection pass a test implemented by a predicate function.,everyByAsync,Function,false,false,false,utils/async/any-by;utils/every-by;utils/async/every-by-right;utils/async/for-each;utils/async/none-by;utils/async/some-by
utils/async/for-each-right,"Invoke a function once for each element in a collection, iterating from right to left.",forEachRightAsync,Function,false,false,false,utils/async/for-each;utils/for-each-right
utils/async/for-each,Invoke a function once for each element in a collection.,forEachAsync,Function,false,false,false,utils/for-each;utils/async/for-each-right
utils/async/function-sequence,Function sequence.,functionSequenceAsync,Function,false,false,false,utils/async/compose;utils/function-sequence
utils/async/group-by,Group values according to an indicator function.,groupByAsync,Function,false,false,false,utils/async/bifurcate-by;utils/async/count-by;utils/group-by
utils/async/if-else,"If a predicate function returns a truthy value, return `x`; otherwise, return `y`.",ifelseAsync,Function,false,false,false,utils/async/if-then;utils/if-else
utils/async/if-then,"If a predicate function returns a truthy value, invoke `x`; otherwise, invoke `y`.",ifthenAsync,Function,false,false,false,utils/async/if-else;utils/if-then
utils/async/inmap-right,"Invoke a function for each element in a collection and update the collection in-place, iterating from right to left.",inmapRightAsync,Function,false,false,false,utils/async/for-each-right;utils/async/inmap;utils/inmap-right
utils/async/inmap,Invoke a function for each element in a collection and update the collection in-place.,inmapAsync,Function,false,false,false,utils/async/for-each;utils/async/inmap-right;utils/inmap
utils/async/map-function,Invoke a function n times and return an array of accumulated function return values.,mapFunAsync,Function,false,false,false,utils/map-function
utils/async/map-keys,Map keys from one object to a new object having the same values.,mapKeysAsync,Function,false,false,false,utils/map-keys;utils/async/map-values
utils/async/map-values,Map values from one object to a new object having the same keys.,mapValuesAsync,Function,false,false,false,utils/async/map-keys;utils/map-values
utils/async/none-by-right,"Test whether all elements in a collection fail a test implemented by a predicate function, iterating from right to left.",noneByRightAsync,Function,false,false,false,utils/async/any-by-right;utils/async/every-by-right;utils/async/for-each-right;utils/async/none-by;utils/none-by-right;utils/async/some-by-right
utils/async/none-by,Test whether all elements in a collection fail a test implemented by a predicate function.,noneByAsync,Function,false,false,false,utils/async/any-by;utils/async/every-by;utils/async/for-each;utils/none-by;utils/async/none-by-right;utils/async/some-by
utils/async,Standard async utilities.,,,false,false,false,
utils/async/parallel,Execute a set of functions in parallel.,,,false,false,false,
utils/async/reduce-right,"Apply a function against an accumulator and each element in a collection and return the accumulated result, iterating from right to left.",reduceRightAsync,Function,false,false,false,utils/async/for-each-right;utils/async/reduce;utils/reduce-right
utils/async/reduce,Apply a function against an accumulator and each element in a collection and return the accumulated result.,reduceAsync,Function,false,false,false,utils/async/for-each;utils/reduce;utils/async/reduce-right
utils/async/series-waterfall,"Execute functions in series, passing the results of one function as arguments to the next function.",waterfall,Function,false,false,false,
utils/async/some-by-right,"Test whether a collection contains at least `n` elements which pass a test implemented by a predicate function, iterating from right to left.",someByRightAsync,Function,false,false,false,utils/async/any-by-right;utils/async/every-by-right;utils/async/for-each-right;utils/async/none-by-right;utils/async/some-by;utils/some-by-right
utils/async/some-by,Test whether a collection contains `n` elements which pass a test implemented by a predicate function.,someByAsync,Function,false,false,false,utils/async/any-by;utils/async/every-by;utils/async/for-each;utils/async/none-by;utils/some-by;utils/async/some-by-right
utils/async/tabulate-by,Generate a frequency table according to an indicator function.,tabulateByAsync,Function,false,false,false,utils/async/count-by;utils/async/group-by;utils/tabulate-by
utils/async/try-catch,"If a function does not return an error, invoke a callback with the function result; otherwise, invoke a callback with a value `y`.",trycatchAsync,Function,false,false,false,utils/try-catch;utils/async/try-then
utils/async/try-then,"If a function does not return an error, invoke a callback with the function result; otherwise, invoke a second function.",trythenAsync,Function,false,false,false,utils/async/try-catch;utils/try-then
utils/async/until,Invoke a function until a test condition is true.,untilAsync,Function,false,false,false,utils/async/do-until;utils/async/do-while;utils/until;utils/async/while
utils/async/while,Invoke a function while a test condition is true.,whileAsync,Function,false,false,false,utils/async/do-until;utils/async/do-while;utils/async/until;utils/while
utils/bifurcate-by,Split values into two groups according to a predicate function.,bifurcateBy,Function,false,false,false,utils/bifurcate;utils/group-by
utils/bifurcate,Split values into two groups.,bifurcate,Function,false,false,false,utils/bifurcate-by;object/bifurcate-own;utils/group
utils/compose,Function composition.,compose,Function,false,false,false,utils/async/compose
utils/constant-function,Constant function.,constantFunction,Function,false,false,false,utils/argument-function;utils/identity-function
utils/constructor-name,Determine the name of a value's constructor.,constructorName,Function,false,false,false,utils/function-name
utils/convert-path,Convert between POSIX and Windows paths.,convertPath,Function,true,false,false,
utils/copy,Copy or deep clone a value to an arbitrary depth.,copy,Function,false,false,false,utils/merge
utils/count-by,Group values according to an indicator function and return group counts.,countBy,Function,false,false,false,utils/group;utils/group-by
utils/curry-right,Transform a function into a sequence of functions each accepting a single argument.,curryRight,Function,false,false,false,utils/curry;utils/uncurry;utils/uncurry-right
utils/curry,Transform a function into a sequence of functions each accepting a single argument.,curry,Function,false,false,false,utils/curry-right;utils/uncurry;utils/uncurry-right
utils/decorate-after,Decorate a provided function such that the function's return value is provided as an argument to another function.,decorateAfter,Function,false,false,false,
utils/deep-pluck,Extract a nested property value from each element of an object array.,deepPluck,Function,false,false,false,object/deep-get;object/deep-set
utils/define-configurable-read-only-accessor,Define a configurable read-only accessor.,setConfigurableReadOnlyAccessor,Function,false,false,false,utils/define-configurable-read-only-property;utils/define-configurable-read-write-accessor;utils/define-configurable-write-only-accessor;utils/define-property;utils/define-read-only-accessor
utils/define-configurable-read-only-property,Define a configurable read-only property.,setConfigurableReadOnly,Function,false,false,false,utils/define-configurable-read-only-accessor;utils/define-configurable-read-write-accessor;utils/define-property;utils/define-read-only-property
utils/define-configurable-read-write-accessor,Define a configurable read-write accessor.,setConfigurableReadWriteAccessor,Function,false,false,false,utils/define-configurable-read-only-property;utils/define-configurable-read-only-accessor;utils/define-configurable-write-only-accessor;utils/define-property;utils/define-read-write-accessor
utils/define-configurable-write-only-accessor,Define a configurable write-only accessor.,setConfigurableWriteOnlyAccessor,Function,false,false,false,utils/define-configurable-read-only-property;utils/define-configurable-read-only-accessor;utils/define-configurable-read-write-accessor;utils/define-property;utils/define-write-only-accessor
utils/define-memoized-configurable-read-only-property,Define a configurable memoized read-only object property.,setMemoizedConfigurableReadOnly,Function,false,false,false,utils/define-configurable-read-only-property;utils/define-memoized-read-only-property;utils/define-read-only-property
